name,img,faction,area,email,id,start_date,end_date,term
Aare Heinvee,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=5af4f2d2-ec2a-43d2-8441-216776f92a72,Eesti Reformierakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Aare.Heinvee@riigikogu.ee,5af4f2d2-ec2a-43d2-8441-216776f92a72,,,Riigikogu XII
Andres Herkel,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=ccf992ae-380e-46a9-97e7-8fa4da648262,Fraktsiooni mittekuuluvad Riigikogu liikmed,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Andres.Herkel@riigikogu.ee,ccf992ae-380e-46a9-97e7-8fa4da648262,,,Riigikogu XII
Remo Holsmer,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=7b7e11c8-31e8-4072-b50f-fb1dbbb7cd62,Eesti Reformierakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Remo.Holsmer@riigikogu.ee,7b7e11c8-31e8-4072-b50f-fb1dbbb7cd62,,,Riigikogu XII
Kaia Iva,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=fbaedc99-bd10-44e8-9692-d7bcf67bf5c1,Isamaa ja Res Publica Liidu fraktsioon,Järva- ja Viljandimaa ,Kaia.Iva@riigikogu.ee,fbaedc99-bd10-44e8-9692-d7bcf67bf5c1,,,Riigikogu XII
Jüri Jaanson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=09500870-255e-416d-8eda-f80e9929adda,Eesti Reformierakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Jyri.Jaanson@riigikogu.ee,09500870-255e-416d-8eda-f80e9929adda,,,Riigikogu XII
Tatjana Jaanson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=9dec8337-f8e8-4562-8306-9be5d64a0064,Sotsiaaldemokraatliku Erakonna fraktsioon,Pärnumaa ,Tatjana.Jaanson@riigikogu.ee,9dec8337-f8e8-4562-8306-9be5d64a0064,,,Riigikogu XII
Kalle Jents,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=2ca7e868-f072-4461-a783-26f25856a787,Eesti Reformierakonna fraktsioon,Järva- ja Viljandimaa ,Kalle.Jents@riigikogu.ee,2ca7e868-f072-4461-a783-26f25856a787,,,Riigikogu XII
Etti Kagarov,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=54ef4a91-81a0-4679-9ef2-9ee25a10d329,Sotsiaaldemokraatliku Erakonna fraktsioon,Ida-Virumaa ,Etti.Kagarov@riigikogu.ee,54ef4a91-81a0-4679-9ef2-9ee25a10d329,,,Riigikogu XII
Kalev Kallemets,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=39e848f4-f7e4-489c-96cf-60fae3181cca,Eesti Reformierakonna fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Kalev.Kallemets@riigikogu.ee,39e848f4-f7e4-489c-96cf-60fae3181cca,,,Riigikogu XII
Lembit Kaljuvee,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=26297d77-b6f2-4ae3-b81d-e794be3e3a51,Fraktsiooni mittekuuluvad Riigikogu liikmed,Ida-Virumaa ,Lembit.Kaljuvee@riigikogu.ee,26297d77-b6f2-4ae3-b81d-e794be3e3a51,,,Riigikogu XII
Kalev Kallo,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=2240eda3-3fe9-457a-ab4f-2c52a4382c3c,Eesti Keskerakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Kalev.Kallo@riigikogu.ee,2240eda3-3fe9-457a-ab4f-2c52a4382c3c,,,Riigikogu XII
Siim Kiisler,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=ac0e1069-9bbf-4bf9-88fe-f609a671e74d,Isamaa ja Res Publica Liidu fraktsioon,Tallinna Mustamäe ja Nõmme linnaosa ,siim.kiisler@riigikogu.ee,ac0e1069-9bbf-4bf9-88fe-f609a671e74d,,,Riigikogu XII
Aivar Kokk,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=2dcb35ed-acbc-4bcf-9e9d-9da681842d6d,Isamaa ja Res Publica Liidu fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Aivar.Kokk@riigikogu.ee,2dcb35ed-acbc-4bcf-9e9d-9da681842d6d,,,Riigikogu XII
Mihhail Korb,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=9c583623-eb94-48de-bf39-2bf49759c5a6,Eesti Keskerakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Mihhail.Korb@riigikogu.ee,9c583623-eb94-48de-bf39-2bf49759c5a6,,,Riigikogu XII
Valeri Korb,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=29e61beb-0bb5-4d05-929a-1976f3642699,Eesti Keskerakonna fraktsioon,Ida-Virumaa ,Valeri.Korb@riigikogu.ee,29e61beb-0bb5-4d05-929a-1976f3642699,,,Riigikogu XII
Siret Kotka,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e6416c11-b0c5-459a-96f9-c9549bbaaa81,Eesti Keskerakonna fraktsioon,Lääne-Virumaa ,Siret.Kotka@riigikogu.ee,e6416c11-b0c5-459a-96f9-c9549bbaaa81,,,Riigikogu XII
Kalev Kotkas,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=6686a6a2-4c7f-4595-bda6-88a593183744,Sotsiaaldemokraatliku Erakonna fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Kalev.Kotkas@riigikogu.ee,6686a6a2-4c7f-4595-bda6-88a593183744,,,Riigikogu XII
Tõnis Kõiv,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=8a54c1eb-f56d-4f10-9a2c-f81e2808dc7e,Eesti Reformierakonna fraktsioon,Järva- ja Viljandimaa ,Tonis.Koiv@riigikogu.ee,8a54c1eb-f56d-4f10-9a2c-f81e2808dc7e,,,Riigikogu XII
Kalvi Kõva,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=46fa9a7c-7055-444f-8c55-ea640d1d95d6,Sotsiaaldemokraatliku Erakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Kalvi.Kova@riigikogu.ee,46fa9a7c-7055-444f-8c55-ea640d1d95d6,,,Riigikogu XII
Kalle Laanet,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=31eee189-0019-469f-8469-7da564bf1af9,Fraktsiooni mittekuuluvad Riigikogu liikmed,"Hiiu-, Lääne- ja Saaremaa ",Kalle.Laanet@riigikogu.ee,31eee189-0019-469f-8469-7da564bf1af9,,,Riigikogu XII
Lauri Laasi,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e8df7efa-a72a-495c-a485-7ff8c0a177d8,Eesti Keskerakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Lauri.Laasi@riigikogu.ee,e8df7efa-a72a-495c-a485-7ff8c0a177d8,,,Riigikogu XII
Kalmer Lain,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=99654125-3840-4a57-ae22-84f032536104,Eesti Reformierakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Kalmer.Lain@riigikogu.ee,99654125-3840-4a57-ae22-84f032536104,,,Riigikogu XII
Rein Lang,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=f2f4c55d-aeee-4463-97fe-b94689429e84,Eesti Reformierakonna fraktsioon,Pärnumaa ,Rein.Lang@riigikogu.ee,f2f4c55d-aeee-4463-97fe-b94689429e84,,,Riigikogu XII
Peeter Laurson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=b0011256-5437-4b5b-8b35-c6637dc40d79,Isamaa ja Res Publica Liidu fraktsioon,Tartu linn ,Peeter.Laurson@riigikogu.ee,b0011256-5437-4b5b-8b35-c6637dc40d79,,,Riigikogu XII
Heimar Lenk,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=40766949-940e-4530-9377-1532bc22501b,Eesti Keskerakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Heimar.Lenk@riigikogu.ee,40766949-940e-4530-9377-1532bc22501b,,,Riigikogu XII
Jürgen Ligi,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=c0c7bea2-4c5e-4295-9c0f-dca52d602098,Eesti Reformierakonna fraktsioon,Järva- ja Viljandimaa ,Jyrgen.Ligi@riigikogu.ee,c0c7bea2-4c5e-4295-9c0f-dca52d602098,,,Riigikogu XII
Kalev Lillo,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=f2f30814-2d85-4c37-b020-d1f77c6cbdcd,Eesti Reformierakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Kalev.Lillo@riigikogu.ee,f2f30814-2d85-4c37-b020-d1f77c6cbdcd,,,Riigikogu XII
Väino Linde,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=882d1f5e-3fa5-473b-bbb1-f171d564f140,Eesti Reformierakonna fraktsioon,Pärnumaa ,Vaino.Linde@riigikogu.ee,882d1f5e-3fa5-473b-bbb1-f171d564f140,,,Riigikogu XII
Tiina Lokk-Tramberg,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=16b79a7e-1c47-4e51-a015-35c8fa647251,Eesti Reformierakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",tiina.lokk@riigikogu.ee,16b79a7e-1c47-4e51-a015-35c8fa647251,,,Riigikogu XII
Inara Luigas,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=24ddd323-b871-400f-9649-7aa6e76a260d,Fraktsiooni mittekuuluvad Riigikogu liikmed,"Võru-, Valga- ja Põlvamaa ",Inara.Luigas@riigikogu.ee,24ddd323-b871-400f-9649-7aa6e76a260d,,,Riigikogu XII
Lauri Luik,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=0c8c32b6-5add-4058-acb8-c76822d1d06b,Eesti Reformierakonna fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Lauri.Luik@riigikogu.ee,0c8c32b6-5add-4058-acb8-c76822d1d06b,,,Riigikogu XII
Rait Maruste,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e3daca91-fbe7-4157-a72c-e87cda4565e1,Eesti Reformierakonna fraktsioon,Tartu linn ,Rait.Maruste@riigikogu.ee,e3daca91-fbe7-4157-a72c-e87cda4565e1,,,Riigikogu XII
Mart Meri,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=64167500-65c2-4bf2-8fd8-3a2e6dbb737c,Sotsiaaldemokraatliku Erakonna fraktsioon,Tallinna Mustamäe ja Nõmme linnaosa ,Mart.Meri@riigikogu.ee,64167500-65c2-4bf2-8fd8-3a2e6dbb737c,,,Riigikogu XII
Kristen Michal,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=84bf9004-a454-44c9-8696-5337c74ff486,Eesti Reformierakonna fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Kristen.Michal@riigikogu.ee,84bf9004-a454-44c9-8696-5337c74ff486,,,Riigikogu XII
Marko Mihkelson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=58be6531-1f4b-4b0b-9c21-92566a40ae8b,Isamaa ja Res Publica Liidu fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Marko.Mihkelson@riigikogu.ee,58be6531-1f4b-4b0b-9c21-92566a40ae8b,,,Riigikogu XII
Marianne Mikko,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e0fc4e6d-c527-4fec-8854-ddceb43cffc3,Sotsiaaldemokraatliku Erakonna fraktsioon,Pärnumaa ,Marianne.Mikko@riigikogu.ee,e0fc4e6d-c527-4fec-8854-ddceb43cffc3,,,Riigikogu XII
Jüri Morozov,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=6e93a0b9-7633-427e-a740-5198bd3d0588,Sotsiaaldemokraatliku Erakonna fraktsioon,Jõgeva- ja Tartumaa (v.a Tartu linn) ,Jyri.Morozov@riigikogu.ee,6e93a0b9-7633-427e-a740-5198bd3d0588,,,Riigikogu XII
Innar Mäesalu,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=30e6a4ee-e8ef-4c81-91a9-da0244b2794d,Eesti Reformierakonna fraktsioon,"",Innar.Maesalu@riigikogu.ee,30e6a4ee-e8ef-4c81-91a9-da0244b2794d,,,Riigikogu XII
Meelis Mälberg,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=49d964ea-2e35-4075-913e-18587fcb64cc,Eesti Reformierakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Meelis.Malberg@riigikogu.ee,49d964ea-2e35-4075-913e-18587fcb64cc,,,Riigikogu XII
Tarmo Mänd,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=8dc8ec9c-2af7-4565-b662-168ddb5a688d,Eesti Reformierakonna fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Tarmo.Mand@riigikogu.ee,8dc8ec9c-2af7-4565-b662-168ddb5a688d,,,Riigikogu XII
Eiki Nestor,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=81aecc23-8483-48d6-9217-289fce86b1b5,Sotsiaaldemokraatliku Erakonna fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Eiki.Nestor@riigikogu.ee,81aecc23-8483-48d6-9217-289fce86b1b5,,,Riigikogu XII
Erki Nool,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=a9852c99-b396-421f-aa00-65b3b1118978,Isamaa ja Res Publica Liidu fraktsioon,Ida-Virumaa ,Erki.Nool@riigikogu.ee,a9852c99-b396-421f-aa00-65b3b1118978,,,Riigikogu XII
Liisa-Ly Pakosta,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=289fc421-d890-4401-ba74-4dc6813f0403,Isamaa ja Res Publica Liidu fraktsioon,"Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa ",Liisa.Pakosta@riigikogu.ee,289fc421-d890-4401-ba74-4dc6813f0403,,,Riigikogu XII
Kalle Palling,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=ca5eb437-2288-4945-bc12-325f98008ed3,Eesti Reformierakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Kalle.Palling@riigikogu.ee,ca5eb437-2288-4945-bc12-325f98008ed3,,,Riigikogu XII
Tõnis Palts,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e6d3e6d9-c2ff-4865-8393-407361ba0b05,Isamaa ja Res Publica Liidu fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Tonis.Palts@riigikogu.ee,e6d3e6d9-c2ff-4865-8393-407361ba0b05,,,Riigikogu XII
Juhan Parts,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=bd171edb-9d99-483e-acc1-dfca5d6deb18,Isamaa ja Res Publica Liidu fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Juhan.Parts@riigikogu.ee,bd171edb-9d99-483e-acc1-dfca5d6deb18,,,Riigikogu XII
Heljo Pikhof,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=b5922bb2-56bb-4de6-a7e1-754553191c27,Sotsiaaldemokraatliku Erakonna fraktsioon,Tartu linn ,Heljo.Pikhof@riigikogu.ee,b5922bb2-56bb-4de6-a7e1-754553191c27,,,Riigikogu XII
Barbi Pilvre,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=b12fce45-ee22-49c9-bfdc-cc3d8dcda5e5,Sotsiaaldemokraatliku Erakonna fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",barbi.pilvre@riigikogu.ee,b12fce45-ee22-49c9-bfdc-cc3d8dcda5e5,,,Riigikogu XII
Marko Pomerants,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=85b88dbc-3406-44a0-9aff-49394fd4e9a2,Isamaa ja Res Publica Liidu fraktsioon,Lääne-Virumaa ,Marko.Pomerants@riigikogu.ee,85b88dbc-3406-44a0-9aff-49394fd4e9a2,,,Riigikogu XII
Laine Randjärv,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=88e36468-1e0f-4b6f-9872-1c7025d2f66b,Eesti Reformierakonna fraktsioon,Tartu linn ,Laine.Randjarv@riigikogu.ee,88e36468-1e0f-4b6f-9872-1c7025d2f66b,,,Riigikogu XII
Valdo Randpere,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=966e7ccd-b097-4e49-923c-c8d39dae2d62,Eesti Reformierakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Valdo.Randpere@riigikogu.ee,966e7ccd-b097-4e49-923c-c8d39dae2d62,,,Riigikogu XII
Rein Randver,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=126c9539-9f92-447b-b8e7-812cd951f4f8,Sotsiaaldemokraatliku Erakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Rein.Randver@riigikogu.ee,126c9539-9f92-447b-b8e7-812cd951f4f8,,,Riigikogu XII
Jüri Ratas,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=87b36dbb-08e9-4048-91eb-6df699c6e27e,Eesti Keskerakonna fraktsioon,Tallinna Mustamäe ja Nõmme linnaosa ,Jyri.Ratas@riigikogu.ee,87b36dbb-08e9-4048-91eb-6df699c6e27e,,,Riigikogu XII
Urmas Reinsalu,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=a78027e5-2480-49f2-a340-ee88daf92d53,Isamaa ja Res Publica Liidu fraktsioon,Tallinna Mustamäe ja Nõmme linnaosa ,Urmas.Reinsalu@riigikogu.ee,a78027e5-2480-49f2-a340-ee88daf92d53,,,Riigikogu XII
Mailis Reps,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=74f8df6d-6f4d-410b-8b45-bf58922cf421,Eesti Keskerakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Mailis.Reps@riigikogu.ee,74f8df6d-6f4d-410b-8b45-bf58922cf421,,,Riigikogu XII
Aivar Riisalu,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=9bbdbfde-707a-4c66-8aa5-f109540b6c6a,Fraktsiooni mittekuuluvad Riigikogu liikmed,Harju- (v.a Tallinn) ja Raplamaa ,Aivar.Riisalu@riigikogu.ee,9bbdbfde-707a-4c66-8aa5-f109540b6c6a,,,Riigikogu XII
Reet Roos,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=e29a1870-e3bc-4977-aef9-ace7ad7daec1,Isamaa ja Res Publica Liidu fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Reet.Roos@riigikogu.ee,e29a1870-e3bc-4977-aef9-ace7ad7daec1,,,Riigikogu XII
Aivar Rosenberg,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=c04eda3b-7114-485d-a790-224cd797ba7d,Eesti Reformierakonna fraktsioon,"Võru-, Valga- ja Põlvamaa ",Aivar.Rosenberg@riigikogu.ee,c04eda3b-7114-485d-a790-224cd797ba7d,,,Riigikogu XII
Paul-Eerik Rummo,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=88ecb281-01b3-476e-8573-8bd634319223,Eesti Reformierakonna fraktsioon,Lääne-Virumaa ,Paul-Eerik.Rummo@riigikogu.ee,88ecb281-01b3-476e-8573-8bd634319223,,,Riigikogu XII
Karel Rüütli,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=49fe2dc2-573c-4ab7-b35c-cf07c9a9d9d2,Sotsiaaldemokraatliku Erakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Karel.Ryytli@riigikogu.ee,49fe2dc2-573c-4ab7-b35c-cf07c9a9d9d2,,,Riigikogu XII
Indrek Saar,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=58378026-b797-4bf2-89fc-31a73d9219b3,Sotsiaaldemokraatliku Erakonna fraktsioon,Lääne-Virumaa ,Indrek.Saar@riigikogu.ee,58378026-b797-4bf2-89fc-31a73d9219b3,,,Riigikogu XII
Andrus Saare,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=33b5e40d-f060-4605-9e00-dbd961a6f0f0,Isamaa ja Res Publica Liidu fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Andrus.Saare@riigikogu.ee,33b5e40d-f060-4605-9e00-dbd961a6f0f0,,,Riigikogu XII
Helir-Valdor Seeder,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=23161df7-bc1b-442e-b4cd-2d1f37627658,Isamaa ja Res Publica Liidu fraktsioon,Järva- ja Viljandimaa ,Helir-Valdor.Seeder@riigikogu.ee,23161df7-bc1b-442e-b4cd-2d1f37627658,,,Riigikogu XII
Andre Sepp,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=fdeb3c21-d9cf-46e9-8173-3fb22cd872ba,Eesti Reformierakonna fraktsioon,Harju- (v.a Tallinn) ja Raplamaa ,Andre.Sepp@riigikogu.ee,fdeb3c21-d9cf-46e9-8173-3fb22cd872ba,,,Riigikogu XII
Sven Sester,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=4c3d9559-69ad-4e75-a188-94eae98786fd,Isamaa ja Res Publica Liidu fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Sven.Sester@riigikogu.ee,4c3d9559-69ad-4e75-a188-94eae98786fd,,,Riigikogu XII
Priit Sibul,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=8940964b-6bfd-482d-a4f5-53f2cccb149d,Isamaa ja Res Publica Liidu fraktsioon,"Võru-, Valga- ja Põlvamaa ",Priit.Sibul@riigikogu.ee,8940964b-6bfd-482d-a4f5-53f2cccb149d,,,Riigikogu XII
Kadri Simson,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=382d928f-8fa4-422b-9538-043ff3033b65,Eesti Keskerakonna fraktsioon,Pärnumaa ,Kadri.Simson@riigikogu.ee,382d928f-8fa4-422b-9538-043ff3033b65,,,Riigikogu XII
Imre Sooäär,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=a137f382-44af-44b6-8ce7-1bfe7cc23007,Eesti Reformierakonna fraktsioon,"Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa ",Imre.Sooaar@riigikogu.ee,a137f382-44af-44b6-8ce7-1bfe7cc23007,,,Riigikogu XII
Mihhail Stalnuhhin,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=529e5322-1170-4926-a07e-6ed369534503,Eesti Keskerakonna fraktsioon,Ida-Virumaa ,Mihhail.Stalnuhhin@riigikogu.ee,529e5322-1170-4926-a07e-6ed369534503,,,Riigikogu XII
Neeme Suur,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=bcbb0baf-d295-43f9-acbe-b20d1a115a57,Sotsiaaldemokraatliku Erakonna fraktsioon,"Hiiu-, Lääne- ja Saaremaa ",Neeme.Suur@riigikogu.ee,bcbb0baf-d295-43f9-acbe-b20d1a115a57,,,Riigikogu XII
Aivar Sõerd,http://www.riigikogu.ee/?op=emsplain&page=pilt&pid=5650dddf-f2ca-4b94-8888-e7482808f81b,Eesti Reformierakonna fraktsioon,Tallinna Mustamäe ja Nõmme linnaosa ,Aivar.Soerd@riigikogu.ee,5650dddf-f2ca-4b94-8888-e7482808f81b,,,Riigikogu XII
