name,state,constituency,wikipedia,party_id,party,term,source,area,coalition,coalition_id,constituency_id
Surendran Nagarajan,Kedah,Padang Serai,http://en.wikipedia.org/wiki/N._Surendran,PKR,People's Justice Party,13,"","Padang Serai, Kedah",,,P017
Abdul Aziz Sheikh Fadzir,Kedah,Kulim-Bandar Baharu,http://en.wikipedia.org/wiki/Abdul_Aziz_Sheikh_Fadzir,UMNO,United Malays National Organisation,13,"","Kulim-Bandar Baharu, Kedah",Barisan Nasional,BN,P018
Kamaruddin Jaafar,Kelantan,Tumpat,http://en.wikipedia.org/wiki/Kamaruddin_Jaafar,PAS,Pan-Malaysian Islamic Party,13,"","Tumpat, Kelantan",,,P019
Izani Husin,Kelantan,Pengkalan Chepa,,PAS,Pan-Malaysian Islamic Party,13,"","Pengkalan Chepa, Kelantan",,,P020
Takiyuddin Hassan,Kelantan,Kota Bharu,,PAS,Pan-Malaysian Islamic Party,13,"","Kota Bharu, Kelantan",,,P021
Nik Mohamad Abduh Nik Abdul Aziz,Kelantan,Pasir Mas,,PAS,Pan-Malaysian Islamic Party,13,"","Pasir Mas, Kelantan",,,P022
Siti Zailah Mohd Yusoff,Kelantan,Rantau Panjang,http://en.wikipedia.org/wiki/Siti_Zailah_Mohd_Yusoff,PAS,Pan-Malaysian Islamic Party,13,"","Rantau Panjang, Kelantan",,,P023
Ahmad Baihaki Atiqullah,Kelantan,Kubang Kerian,,PAS,Pan-Malaysian Islamic Party,13,"","Kubang Kerian, Kelantan",,,P024
Ahmad Marzuk Shaary,Kelantan,Bachok,,PAS,Pan-Malaysian Islamic Party,13,"","Bachok, Kelantan",,,P025
Annuar Musa,Kelantan,Ketereh,http://en.wikipedia.org/wiki/Annuar_Musa,UMNO,United Malays National Organisation,13,"","Ketereh, Kelantan",Barisan Nasional,BN,P026
Ikmal Hisham Abdul Aziz,Kelantan,Tanah Merah,,UMNO,United Malays National Organisation,13,"","Tanah Merah, Kelantan",Barisan Nasional,BN,P027
Nik Mazian Nik Mohamad,Kelantan,Pasir Puteh,,PAS,Pan-Malaysian Islamic Party,13,"","Pasir Puteh, Kelantan",,,P028
Ahmad Jazlan Yaakub,Kelantan,Machang,,UMNO,United Malays National Organisation,13,"","Machang, Kelantan",Barisan Nasional,BN,P029
Mustapa Mohamed,Kelantan,Jeli,http://en.wikipedia.org/wiki/Mustapa_Mohamed,UMNO,United Malays National Organisation,13,"","Jeli, Kelantan",Barisan Nasional,BN,P030
Mohd Hatta Ramli,Kelantan,Kuala Krai,http://en.wikipedia.org/wiki/Mohd_Hatta_Ramli,PAS,Pan-Malaysian Islamic Party,13,"","Kuala Krai, Kelantan",,,P031
Tengku Razaleigh Hamzah,Kelantan,Gua Musang,http://en.wikipedia.org/wiki/Tengku_Razaleigh_Hamzah,UMNO,United Malays National Organisation,13,"","Gua Musang, Kelantan",Barisan Nasional,BN,P032
Idris Jusoh,Terengganu,Besut,http://en.wikipedia.org/wiki/Idris_Jusoh,UMNO,United Malays National Organisation,13,"","Besut, Terengganu",Barisan Nasional,BN,P033
Che Mohamad Zulkifly Jusoh,Terengganu,Setiu,,UMNO,United Malays National Organisation,13,"","Setiu, Terengganu",Barisan Nasional,BN,P034
Mohd Khairuddin Aman Razali,Terengganu,Kuala Nerus,,PAS,Pan-Malaysian Islamic Party,13,"","Kuala Nerus, Terengganu",,,P035
Raja Kamarul Bahrin Shah Raja Ahmad,Terengganu,Kuala Terengganu,,PAS,Pan-Malaysian Islamic Party,13,"","Kuala Terengganu, Terengganu",,,P036
Abdul Hadi Awang,Terengganu,Marang,http://en.wikipedia.org/wiki/Abdul_Hadi_Awang,PAS,Pan-Malaysian Islamic Party,13,"","Marang, Terengganu",,,P037
Jailani Johari,Terengganu,Hulu Terengganu,,UMNO,United Malays National Organisation,13,"","Hulu Terengganu, Terengganu",Barisan Nasional,BN,P038
Wan Hassan Mohd Ramli,Terengganu,Dungun,,PAS,Pan-Malaysian Islamic Party,13,"","Dungun, Terengganu",,,P039
Ahmad Shabery Cheek,Terengganu,Kemaman,http://en.wikipedia.org/wiki/Ahmad_Shabery_Cheek,UMNO,United Malays National Organisation,13,"","Kemaman, Terengganu",Barisan Nasional,BN,P040
Reezal Merican Naina Merican,Penang,Kepala Batas,http://en.wikipedia.org/wiki/Reezal_Merican_Naina_Merican,UMNO,United Malays National Organisation,13,"","Kepala Batas, Penang",Barisan Nasional,BN,P041
Shabudin Yahaya,Penang,Tasek Gelugor,,UMNO,United Malays National Organisation,13,"","Tasek Gelugor, Penang",Barisan Nasional,BN,P042
Lim Guan Eng,Penang,Bagan,http://en.wikipedia.org/wiki/Lim_Guan_Eng,DAP,Democratic Action Party,13,"","Bagan, Penang",,,P043
Wan Azizah Wan Ismail,Penang,Permatang Pauh,http://en.wikipedia.org/wiki/Wan_Azizah_Wan_Ismail,PKR,People's Justice Party,13,"","Permatang Pauh, Penang",,,P044
Steven Sim Chee Keong,Penang,Bukit Mertajam,http://en.wikipedia.org/wiki/Steven_Sim,DAP,Democratic Action Party,13,"","Bukit Mertajam, Penang",,,P045
Kasthuriraani Patto,Penang,Batu Kawan,http://en.wikipedia.org/wiki/Kasthuriraani_Patto,DAP,Democratic Action Party,13,"","Batu Kawan, Penang",,,P046
Mansor Othman,Penang,Nibong Tebal,,PKR,People's Justice Party,13,"","Nibong Tebal, Penang",,,P047
Zairil Khir Johari,Penang,Bukit Bendera,http://en.wikipedia.org/wiki/Zairil_Khir_Johari,DAP,Democratic Action Party,13,"","Bukit Bendera, Penang",,,P048
Ng Wei Aik,Penang,Tanjong,,DAP,Democratic Action Party,13,"","Tanjong, Penang",,,P049
Jeff Ooi Chuan Aun,Penang,Jelutong,http://en.wikipedia.org/wiki/Jeff_Ooi,DAP,Democratic Action Party,13,"","Jelutong, Penang",,,P050
Ramkarpal Singh Deo,Penang,Bukit Gelugor,http://en.wikipedia.org/wiki/Ramkarpal_Singh,DAP,Democratic Action Party,13,"","Bukit Gelugor, Penang",,,P051
Sim Tze Tzin,Penang,Bayan Baru,http://en.wikipedia.org/wiki/Sim_Tze_Tzin,PKR,People's Justice Party,13,"","Bayan Baru, Penang",,,P052
Hilmi Yahaya,Penang,Balik Pulau,,UMNO,United Malays National Organisation,13,"","Balik Pulau, Penang",Barisan Nasional,BN,P053
Hasbullah Osman,Perak,Gerik,,UMNO,United Malays National Organisation,13,"","Gerik, Perak",Barisan Nasional,BN,P054
Shamsul Anuar Nasarah,Perak,Lenggong,http://en.wikipedia.org/wiki/Shamsul_Anuar_Nasarah,UMNO,United Malays National Organisation,13,"","Lenggong, Perak",Barisan Nasional,BN,P055
Hamzah Zainudin,Perak,Larut,http://en.wikipedia.org/wiki/Hamzah_Zainudin,UMNO,United Malays National Organisation,13,"","Larut, Perak",Barisan Nasional,BN,P056
Mujahid Yusof Rawa,Perak,Parit Buntar,http://en.wikipedia.org/wiki/Mujahid_Yusof_Rawa,PAS,Pan-Malaysian Islamic Party,13,"","Parit Buntar, Perak",,,P057
Noor Azmi Ghazali,Perak,Bagan Serai,,UMNO,United Malays National Organisation,13,"","Bagan Serai, Perak",Barisan Nasional,BN,P058
Idris Ahmad,Perak,Bukit Gantang,,PAS,Pan-Malaysian Islamic Party,13,"","Bukit Gantang, Perak",,,P059
Nga Kor Ming,Perak,Taiping,http://en.wikipedia.org/wiki/Nga_Kor_Ming,DAP,Democratic Action Party,13,"","Taiping, Perak",,,P060
Mohamed Nazri Abdul Aziz,Perak,Padang Rengas,http://en.wikipedia.org/wiki/Mohamed_Nazri_Abdul_Aziz,UMNO,United Malays National Organisation,13,"","Padang Rengas, Perak",Barisan Nasional,BN,P061
Michael Jeyakumar Devaraj,Perak,Sungai Siput,http://en.wikipedia.org/wiki/Michael_Jeyakumar_Devaraj,PSM,Parti Sosialis Malaysia,13,"","Sungai Siput, Perak",,,P062
Ahmad Husni Hanadzlah,Perak,Tambun,http://en.wikipedia.org/wiki/Ahmad_Husni_Hanadzlah,UMNO,United Malays National Organisation,13,"","Tambun, Perak",Barisan Nasional,BN,P063
Su Keong Siong,Perak,Ipoh Timor,,DAP,Democratic Action Party,13,"","Ipoh Timor, Perak",,,P064
M. Kulasegaran,Perak,Ipoh Barat,http://en.wikipedia.org/wiki/M._Kulasegaran,DAP,Democratic Action Party,13,"","Ipoh Barat, Perak",,,P065
V. Sivakumar,Perak,Batu Gajah,http://en.wikipedia.org/wiki/V._Sivakumar,DAP,Democratic Action Party,13,"","Batu Gajah, Perak",,,P066
Wan Mohammad Khair-il Anuar Wan Ahmad,Perak,Kuala Kangsar,http://en.wikipedia.org/wiki/Wan_Mohammad_Khair-il_Anuar_Wan_Ahmad,UMNO,United Malays National Organisation,13,"","Kuala Kangsar, Perak",Barisan Nasional,BN,P067
Ngeh Koo Ham,Perak,Beruas,http://en.wikipedia.org/wiki/Ngeh_Koo_Ham,DAP,Democratic Action Party,13,"","Beruas, Perak",,,P068
Mohd Zaim Abu Hassan,Perak,Parit,,UMNO,United Malays National Organisation,13,"","Parit, Perak",Barisan Nasional,BN,P069
Ko Chung Sen,Perak,Kampar,,DAP,Democratic Action Party,13,"","Kampar, Perak",,,P070
Lee Boon Chye,Perak,Gopeng,http://en.wikipedia.org/wiki/Lee_Boon_Chye,PKR,People's Justice Party,13,"","Gopeng, Perak",,,P071
Saravanan Murugan,Perak,Tapah,http://en.wikipedia.org/wiki/Saravanan_Murugan,MIC,Malaysian Indian Congress,13,"","Tapah, Perak",Barisan Nasional,BN,P072
Tajuddin Abdul Rahman,Perak,Pasir Salak,http://en.wikipedia.org/wiki/Tajuddin_Abdul_Rahman,UMNO,United Malays National Organisation,13,"","Pasir Salak, Perak",Barisan Nasional,BN,P073
Mohamad Imran Abd Hamid,Perak,Lumut,,PKR,People's Justice Party,13,"","Lumut, Perak",,,P074
Ahmad Zahid Hamidi,Perak,Bagan Datok,http://en.wikipedia.org/wiki/Ahmad_Zahid_Hamidi,UMNO,United Malays National Organisation,13,"","Bagan Datok, Perak",Barisan Nasional,BN,P075
Mah Siew Keong,Perak,Telok Intan,,Gerakan,Parti Gerakan Rakyat Malaysia,13,"","Telok Intan, Perak",Barisan Nasional,BN,P076
Ong Ka Chuan,Perak,Tanjong Malim,http://en.wikipedia.org/wiki/Ong_Ka_Chuan,MCA,Malaysian Chinese Association,13,"","Tanjong Malim, Perak",Barisan Nasional,BN,P077
Palanivel Govindasamy,Pahang,Cameron Highlands,http://en.wikipedia.org/wiki/Palanivel_Govindasamy,MIC,Malaysian Indian Congress,13,"","Cameron Highlands, Pahang",Barisan Nasional,BN,P078
Abdul Rahman Mohamad,Pahang,Lipis,,UMNO,United Malays National Organisation,13,"","Lipis, Pahang",Barisan Nasional,BN,P079
Mohd Ariff Sabri Abdul Aziz,Pahang,Raub,http://en.wikipedia.org/wiki/Ariff_Sabri_Abdul_Aziz,DAP,Democratic Action Party,13,"","Raub, Pahang",,,P080
Ahmad Nazlan Idris,Pahang,Jerantut,,UMNO,United Malays National Organisation,13,"","Jerantut, Pahang",Barisan Nasional,BN,P081
Fauzi Abdul Rahman,Pahang,Indera Mahkota,,PKR,People's Justice Party,13,"","Indera Mahkota, Pahang",,,P082
Fuziah Salleh,Pahang,Kuantan,http://en.wikipedia.org/wiki/Fuziah_Salleh,PKR,People's Justice Party,13,"","Kuantan, Pahang",,,P083
Abdul Manan Ismail,Pahang,Paya Besar,http://en.wikipedia.org/wiki/Abdul_Manan_Ismail,UMNO,United Malays National Organisation,13,"","Paya Besar, Pahang",Barisan Nasional,BN,P084
Najib Razak,Pahang,Pekan,http://en.wikipedia.org/wiki/Najib_Razak,UMNO,United Malays National Organisation,13,"","Pekan, Pahang",Barisan Nasional,BN,P085
Ismail Muttalib,Pahang,Maran,http://en.wikipedia.org/wiki/Ismail_Muttalib,UMNO,United Malays National Organisation,13,"","Maran, Pahang",Barisan Nasional,BN,P086
Ismail Mohamed Said,Pahang,Kuala Krau,http://en.wikipedia.org/wiki/Ismail_Mohamed_Said,UMNO,United Malays National Organisation,13,"","Kuala Krau, Pahang",Barisan Nasional,BN,P087
Nasrudin Hassan,Pahang,Temerloh,,PAS,Pan-Malaysian Islamic Party,13,"","Temerloh, Pahang",,,P088
Liow Tiong Lai,Pahang,Bentong,http://en.wikipedia.org/wiki/Liow_Tiong_Lai,MCA,Malaysian Chinese Association,13,"","Bentong, Pahang",Barisan Nasional,BN,P089
Ismail Sabri Yaakob,Pahang,Bera,http://en.wikipedia.org/wiki/Ismail_Sabri_Yaakob,UMNO,United Malays National Organisation,13,"","Bera, Pahang",Barisan Nasional,BN,P090
Hasan Arifin,Pahang,Rompin,,UMNO,United Malays National Organisation,13,"","Rompin, Pahang",Barisan Nasional,BN,P091
Mohd Fasiah Mohd Fakeh,Selangor,Sabak Bernam,,UMNO,United Malays National Organisation,13,"","Sabak Bernam, Selangor",Barisan Nasional,BN,P092
Noriah Kasnon,Selangor,Sungai Besar,http://en.wikipedia.org/wiki/Noriah_Kasnon,UMNO,United Malays National Organisation,13,"","Sungai Besar, Selangor",Barisan Nasional,BN,P093
Kamalanathan Panchanathan,Selangor,Hulu Selangor,http://en.wikipedia.org/wiki/P._Kamalanathan,MIC,Malaysian Indian Congress,13,"","Hulu Selangor, Selangor",Barisan Nasional,BN,P094
Noh Omar,Selangor,Tanjong Karang,http://en.wikipedia.org/wiki/Noh_Omar,UMNO,United Malays National Organisation,13,"","Tanjong Karang, Selangor",Barisan Nasional,BN,P095
Irmohizan Ibrahim,Selangor,Kuala Selangor,,UMNO,United Malays National Organisation,13,"","Kuala Selangor, Selangor",Barisan Nasional,BN,P096
William Leong Jee Keen,Selangor,Selayang,http://en.wikipedia.org/wiki/William_Leong_Jee_Keen,PKR,People's Justice Party,13,"","Selayang, Selangor",,,P097
Mohamed Azmin Ali,Selangor,Gombak,http://en.wikipedia.org/wiki/Mohamed_Azmin_Ali,PKR,People's Justice Party,13,"","Gombak, Selangor",,,P098
Zuraida Kamarudin,Selangor,Ampang,http://en.wikipedia.org/wiki/Zuraida_Kamarudin,PKR,People's Justice Party,13,"","Ampang, Selangor",,,P099
Rafizi Ramli,Selangor,Pandan,http://en.wikipedia.org/wiki/Rafizi_Ramli,PKR,People's Justice Party,13,"","Pandan, Selangor",,,P100
Che Rosli Che Mat,Selangor,Hulu Langat,http://en.wikipedia.org/wiki/Che_Rosli_Che_Mat,PAS,Pan-Malaysian Islamic Party,13,"","Hulu Langat, Selangor",,,P101
Ong Kian Ming,Selangor,Serdang,http://en.wikipedia.org/wiki/Ong_Kian_Ming,DAP,Democratic Action Party,13,"","Serdang, Selangor",,,P102
Gobind Singh Deo,Selangor,Puchong,http://en.wikipedia.org/wiki/Gobind_Singh_Deo,DAP,Democratic Action Party,13,"","Puchong, Selangor",,,P103
Wong Chen,Selangor,Kelana Jaya,http://en.wikipedia.org/wiki/Wong_Chen,PKR,People's Justice Party,13,"","Kelana Jaya, Selangor",,,P104
Hee Loy Sian,Selangor,Petaling Jaya Selatan,http://en.wikipedia.org/wiki/Hee_Loy_Sian,PKR,People's Justice Party,13,"","Petaling Jaya Selatan, Selangor",,,P105
Tony Pua Kiam Wee,Selangor,Petaling Jaya Utara,http://en.wikipedia.org/wiki/Tony_Pua,DAP,Democratic Action Party,13,"","Petaling Jaya Utara, Selangor",,,P106
Sivarasa K. Rasiah,Selangor,Subang,http://en.wikipedia.org/wiki/Sivarasa_Rasiah,PKR,People's Justice Party,13,"","Subang, Selangor",,,P107
Khalid Samad,Selangor,Shah Alam,http://en.wikipedia.org/wiki/Khalid_Samad,PAS,Pan-Malaysian Islamic Party,13,"","Shah Alam, Selangor",,,P108
Manivannan Gowindasamy,Selangor,Kapar,,PKR,People's Justice Party,13,"","Kapar, Selangor",,,P109
Charles Anthony R. Santiago,Selangor,Klang,http://en.wikipedia.org/wiki/Charles_Santiago,DAP,Democratic Action Party,13,"","Klang, Selangor",,,P110
Siti Mariah Mahmud,Selangor,Kota Raja,http://en.wikipedia.org/wiki/Siti_Mariah_Mahmud,PAS,Pan-Malaysian Islamic Party,13,"","Kota Raja, Selangor",,,P111
Abdullah Sani Abdul Hamid,Selangor,Kuala Langat,http://en.wikipedia.org/wiki/Abdullah_Sani_Abdul_Hamid,PKR,People's Justice Party,13,"","Kuala Langat, Selangor",,,P112
Mohamed Hanipa Maidin,Selangor,Sepang,,PAS,Pan-Malaysian Islamic Party,13,"","Sepang, Selangor",,,P113
Tan Seng Giaw,Federal Territory of Kuala Lumpur,Kepong,http://en.wikipedia.org/wiki/Tan_Seng_Giaw,DAP,Democratic Action Party,13,"","Kepong, Federal Territory of Kuala Lumpur",,,P114
Chua Tian Chang,Federal Territory of Kuala Lumpur,Batu,http://en.wikipedia.org/wiki/Chua_Tian_Chang,PKR,People's Justice Party,13,"","Batu, Federal Territory of Kuala Lumpur",,,P115
Tan Kee Kwong,Federal Territory of Kuala Lumpur,Wangsa Maju,,PKR,People's Justice Party,13,"","Wangsa Maju, Federal Territory of Kuala Lumpur",,,P116
Lim Lip Eng,Federal Territory of Kuala Lumpur,Segambut,http://en.wikipedia.org/wiki/Lim_Lip_Eng,DAP,People's Justice Party,13,"","Segambut, Federal Territory of Kuala Lumpur",,,P117
Ahmad Fauzi Zahari,Federal Territory of Kuala Lumpur,Setiawangsa,,UMNO,United Malays National Organisation,13,"","Setiawangsa, Federal Territory of Kuala Lumpur",Barisan Nasional,BN,P118
Johari Abdul Ghani,Federal Territory of Kuala Lumpur,Titiwangsa,http://en.wikipedia.org/wiki/Johari_Abdul_Ghani,UMNO,United Malays National Organisation,13,"","Titiwangsa, Federal Territory of Kuala Lumpur",Barisan Nasional,BN,P119
Fong Kui Lun,Federal Territory of Kuala Lumpur,Bukit Bintang,http://en.wikipedia.org/wiki/Fong_Kui_Lun,DAP,Democratic Action Party,13,"","Bukit Bintang, Federal Territory of Kuala Lumpur",,,P120
Nurul Izzah Anwar,Federal Territory of Kuala Lumpur,Lembah Pantai,http://en.wikipedia.org/wiki/Nurul_Izzah_Anwar,PKR,People's Justice Party,13,"","Lembah Pantai, Federal Territory of Kuala Lumpur",,,P121
Teresa Kok Suh Sim,Federal Territory of Kuala Lumpur,Seputeh,http://en.wikipedia.org/wiki/Teresa_Kok,DAP,Democratic Action Party,13,"","Seputeh, Federal Territory of Kuala Lumpur",,,P122
Tan Kok Wai,Federal Territory of Kuala Lumpur,Cheras,http://en.wikipedia.org/wiki/Tan_Kok_Wai,DAP,Democratic Action Party,13,"","Cheras, Federal Territory of Kuala Lumpur",,,P123
Abdul Khalid Ibrahim,Federal Territory of Kuala Lumpur,Bandar Tun Razak,http://en.wikipedia.org/wiki/Abdul_Khalid_Ibrahim,IND,Independent,13,"","Bandar Tun Razak, Federal Territory of Kuala Lumpur",,,P124
Tengku Adnan Tengku Mansor,Federal Territory of Putrajaya,Putrajaya,http://en.wikipedia.org/wiki/Tengku_Adnan_Tengku_Mansor,UMNO,United Malays National Organisation,13,"","Putrajaya, Federal Territory of Putrajaya",Barisan Nasional,BN,P125
Zainudin Ismail,Negeri Sembilan,Jelebu,,UMNO,United Malays National Organisation,13,"","Jelebu, Negeri Sembilan",Barisan Nasional,BN,P126
Mohd Isa Abdul Samad,Negeri Sembilan,Jempol,,UMNO,United Malays National Organisation,13,"","Jempol, Negeri Sembilan",Barisan Nasional,BN,P127
Loke Siew Fook,Negeri Sembilan,Seremban,http://en.wikipedia.org/wiki/Loke_Siew_Fook,DAP,Democratic Action Party,13,"","Seremban, Negeri Sembilan",,,P128
Hasan Malek,Negeri Sembilan,Kuala Pilah,http://en.wikipedia.org/wiki/Hasan_Malek,UMNO,United Malays National Organisation,13,"","Kuala Pilah, Negeri Sembilan",Barisan Nasional,BN,P129
Teo Kok Seong,Negeri Sembilan,Rasah,,DAP,Democratic Action Party,13,"","Rasah, Negeri Sembilan",,,P130
Khairy Jamaluddin Abu Bakar,Negeri Sembilan,Rembau,http://en.wikipedia.org/wiki/Khairy_Jamaluddin,UMNO,United Malays National Organisation,13,"","Rembau, Negeri Sembilan",Barisan Nasional,BN,P131
Kamarul Baharin Abbas,Negeri Sembilan,Telok Kemang,http://en.wikipedia.org/wiki/Kamarul_Baharin_Abbas,PKR,People's Justice Party,13,"","Telok Kemang, Negeri Sembilan",,,P132
Shaziman Abu Mansor,Negeri Sembilan,Tampin,http://en.wikipedia.org/wiki/Shaziman_Abu_Mansor,UMNO,United Malays National Organisation,13,"","Tampin, Negeri Sembilan",Barisan Nasional,BN,P133
Mas Ermieyati Samsudin,Malacca,Masjid Tanah,,UMNO,United Malays National Organisation,13,"","Masjid Tanah, Malacca",Barisan Nasional,BN,P134
Koh Nai Kwong,Malacca,Alor Gajah,http://en.wikipedia.org/wiki/Koh_Nai_Kwong,MCA,Malaysian Chinese Association,13,"","Alor Gajah, Malacca",Barisan Nasional,BN,P135
Abu Bakar Mohamad Diah,Malacca,Tangga Batu,,UMNO,United Malays National Organisation,13,"","Tangga Batu, Malacca",Barisan Nasional,BN,P136
Shamsul Iskandar Md. Akin,Malacca,Bukit Katil,http://en.wikipedia.org/wiki/Shamsul_Iskandar_Md._Akin,PKR,People's Justice Party,13,"","Bukit Katil, Malacca",,,P137
Sim Tong Him,Malacca,Kota Melaka,http://en.wikipedia.org/wiki/Sim_Tong_Him,DAP,Democratic Action Party,13,"","Kota Melaka, Malacca",,,P138
Ahmad Hamzah,Malacca,Jasin,http://en.wikipedia.org/wiki/Ahmad_Hamzah,UMNO,United Malays National Organisation,13,"","Jasin, Malacca",Barisan Nasional,BN,P139
Subramaniam Sathasivam,Johor,Segamat,http://en.wikipedia.org/wiki/Subramaniam_Sathasivam,MIC,Malaysian Indian Congress,13,"","Segamat, Johor",Barisan Nasional,BN,P140
Anuar Abd. Manap,Johor,Sekijang,,UMNO,United Malays National Organisation,13,"","Sekijang, Johor",Barisan Nasional,BN,P141
Chua Tee Yong,Johor,Labis,http://en.wikipedia.org/wiki/Chua_Tee_Yong,MCA,Malaysian Chinese Association,13,"","Labis, Johor",Barisan Nasional,BN,P142
Muhyiddin Yassin,Johor,Pagoh,http://en.wikipedia.org/wiki/Muhyiddin_Yassin,UMNO,United Malays National Organisation,13,"","Pagoh, Johor",Barisan Nasional,BN,P143
Hamim Samuri,Johor,Ledang,http://en.wikipedia.org/wiki/Hamim_Samuri,UMNO,United Malays National Organisation,13,"","Ledang, Johor",Barisan Nasional,BN,P144
Er Teck Hwa,Johor,Bakri,http://en.wikipedia.org/wiki/Er_Teck_Hwa,DAP,Democratic Action Party,13,"","Bakri, Johor",,,P145
Razali Ibrahim,Johor,Muar,http://en.wikipedia.org/wiki/Razali_Ibrahim,UMNO,United Malays National Organisation,13,"","Muar, Johor",Barisan Nasional,BN,P146
Noraini Ahmad,Johor,Parit Sulong,http://en.wikipedia.org/wiki/Noraini_Ahmad,UMNO,United Malays National Organisation,13,"","Parit Sulong, Johor",Barisan Nasional,BN,P147
Wee Ka Siong,Johor,Ayer Hitam,http://en.wikipedia.org/wiki/Wee_Ka_Siong,MCA,Malaysian Chinese Association,13,"","Ayer Hitam, Johor",Barisan Nasional,BN,P148
Aziz Kaprawi,Johor,Sri Gading,http://en.wikipedia.org/wiki/Aziz_Kaprawi,UMNO,United Malays National Organisation,13,"","Sri Gading, Johor",Barisan Nasional,BN,P149
Mohd Idris Jusi,Johor,Batu Pahat,http://en.wikipedia.org/wiki/Mohd_Idris_Jusi,PKR,People's Justice Party,13,"","Batu Pahat, Johor",,,P150
Liang Teck Meng,Johor,Simpang Renggam,http://en.wikipedia.org/wiki/Liang_Teck_Meng,Gerakan,Parti Gerakan Rakyat Malaysia,13,"","Simpang Renggam, Johor",Barisan Nasional,BN,P151
Liew Chin Tong,Johor,Kluang,http://en.wikipedia.org/wiki/Liew_Chin_Tong,DAP,Democratic Action Party,13,"","Kluang, Johor",,,P152
Hishammuddin Hussein,Johor,Sembrong,http://en.wikipedia.org/wiki/Hishammuddin_Hussein,UMNO,United Malays National Organisation,13,"","Sembrong, Johor",Barisan Nasional,BN,P153
Abdul Latiff Ahmad,Johor,Mersing,http://en.wikipedia.org/wiki/Abdul_Latiff_Ahmad,UMNO,United Malays National Organisation,13,"","Mersing, Johor",Barisan Nasional,BN,P154
Halimah Mohd Sadique,Johor,Tenggara,http://en.wikipedia.org/wiki/Halimah_Mohd_Sadique,UMNO,United Malays National Organisation,13,"","Tenggara, Johor",Barisan Nasional,BN,P155
Noor Ehsanuddin Mohd Harun Narrashid,Johor,Kota Tinggi,http://en.wikipedia.org/wiki/Noor_Ehsanuddin_Mohd_Harun_Narrashid,UMNO,United Malays National Organisation,13,"","Kota Tinggi, Johor",Barisan Nasional,BN,P156
